time;cpu;memory
0.0;2.8;12.4
1.0;3.5;12.4
2.0;2.4;12.5
3.0;2.8;12.4
4.0;2.9;12.4
5.0;2.6;12.4
6.0;2.4;12.4
7.0;2.6;12.3
8.0;2.4;12.4
9.0;2.6;12.3
10.0;2.4;12.3
11.0;4.1;12.4
12.0;2.8;12.4
13.0;2.3;12.4
14.0;2.3;12.4
15.0;2.4;12.4
16.0;2.7;12.3
17.0;2.4;12.3
18.0;2.1;12.3
19.0;2.5;12.3
20.0;2.8;12.3
21.0;2.2;12.3
22.0;2.1;12.3
23.0;2.4;12.3
24.0;2.4;12.3
25.0;2.7;12.3
26.0;2.4;12.3
27.0;2.7;12.3
28.0;2.6;12.3
29.0;2.7;12.3
30.0;2.3;12.3
31.0;2.6;12.3
32.0;2.6;12.3
33.0;2.7;12.3
34.0;2.3;12.3
35.0;2.9;12.3
36.0;2.2;12.3
37.0;2.5;12.3
38.0;2.2;12.3
39.0;2.7;12.3
40.0;2.4;12.3
41.0;2.4;12.3
42.0;2.1;12.3
43.0;2.8;12.3
44.0;2.5;12.3
45.0;2.7;12.3
46.0;2.4;12.3
47.0;2.6;12.3
48.0;2.5;12.3
49.0;2.7;12.3
50.0;2.3;12.3
51.0;2.7;12.3
52.0;2.6;12.3
53.0;2.3;12.3
54.0;2.3;12.3
55.0;2.8;12.3
56.0;2.6;12.3
57.0;2.6;12.3
58.0;2.2;12.3
59.0;2.4;12.3
60.0;2.4;12.3
61.0;2.6;12.3
62.0;2.3;12.3
63.0;2.8;12.3
64.0;2.3;12.3
65.0;2.7;12.3
66.0;2.5;12.3
67.0;2.6;12.3
68.0;2.4;12.3
69.0;2.6;12.3
70.0;2.5;12.3
71.0;2.8;12.3
72.0;2.7;12.3
73.0;2.8;12.3
74.0;2.4;12.3
75.0;2.6;12.3
76.0;2.7;12.3
77.0;2.2;12.3
78.0;2.6;12.3
79.0;2.5;12.3
80.0;2.2;12.3
81.0;2.6;12.3
82.0;2.6;12.3
83.0;2.5;12.3
84.0;2.4;12.3
85.0;2.5;12.3
86.0;2.8;12.3
87.0;2.5;12.3
88.0;2.8;12.3
89.0;2.3;12.3
90.0;2.4;12.3
91.0;2.5;12.3
92.0;2.4;12.3
93.0;2.2;12.3
94.0;2.6;12.3
95.0;2.5;12.3
96.0;2.8;12.3
97.0;2.4;12.3
98.0;2.9;12.3
99.0;2.3;12.3
100.0;2.7;12.3
101.0;2.4;12.3
102.0;3.2;12.3
103.0;2.5;12.3
104.0;2.7;12.3
105.0;2.3;12.3
106.0;3.2;12.3
107.0;2.7;12.3
108.0;2.4;12.3
109.0;2.2;12.3
110.0;2.6;12.3
111.0;2.5;12.3
112.0;2.4;12.3
113.0;2.5;12.3
114.0;2.5;12.3
115.0;2.5;12.3
116.0;2.7;12.3
117.0;2.3;12.3
118.0;2.7;12.3
119.0;2.7;12.3
120.0;2.5;12.3
121.0;2.6;12.3
122.0;2.6;12.3
123.0;2.6;12.3
124.0;2.8;12.3
125.0;2.9;12.3
126.0;2.6;12.3
127.0;2.5;12.3
128.0;2.4;12.3
129.0;3.1;12.3
130.0;2.5;12.3
131.0;2.7;12.3
132.0;2.5;12.3
133.0;2.6;12.3
134.0;2.7;12.3
135.0;2.7;12.3
136.0;2.7;12.3
137.0;2.8;12.3
138.0;2.5;12.3
139.0;2.4;12.3
140.0;2.7;12.3
141.0;2.8;12.3
142.0;2.7;12.3
143.0;2.3;12.3
144.0;2.5;12.3
145.0;2.5;12.3
146.0;2.6;12.3
147.0;2.6;12.3
148.0;2.7;12.3
149.0;2.3;12.3
150.0;3.0;12.3
151.0;2.7;12.3
152.0;2.8;12.3
153.0;2.8;12.3
154.0;2.8;12.3
